city,country,latitude,longitude,timezone,currency
London,United Kingdom,51.5074,-0.1278,GMT,GBP
Paris,France,48.8566,2.3522,CET,EUR
Berlin,Germany,52.5200,13.4050,CET,EUR
Madrid,Spain,40.4168,-3.7038,CET,EUR
Rome,Italy,41.9028,12.4964,CET,EUR
Amsterdam,Netherlands,52.3667,4.8945,CET,EUR
Lisbon,Portugal,38.7223,-9.1393,WET,EUR
Dublin,Ireland,53.3498,-6.2603,GMT,EUR
Vienna,Austria,48.2082,16.3738,CET,EUR
Brussels,Belgium,50.8503,4.3517,CET,EUR
Athens,Greece,37.9838,23.7275,EET,EUR
Stockholm,Sweden,59.3293,18.0686,CET,SEK
Copenhagen,Denmark,55.6761,12.5683,CET,DKK
Oslo,Norway,59.9139,10.7522,CET,NOK
Helsinki,Finland,60.1699,24.9384,EET,EUR
Warsaw,Poland,52.2297,21.0122,CET,PLN
Budapest,Hungary,47.4979,19.0402,CET,HUF
Prague,Czech Republic,50.0755,14.4378,CET,CZK
